name,code,category,brand,size,unitPrice,minStockLevel,initial_stock
"Deluxe Mattress (75x30x3)",M15DE,"Standard Foam Mattresses",Deluxe,75x30x3,20000,5,0
"Deluxe Mattress (75x30x4)",M10DE,"Standard Foam Mattresses",Deluxe,75x30x4,20000,5,0
"Deluxe Mattress (75x30x6)",M5DE6,"Standard Foam Mattresses",Deluxe,75x30x6,20000,5,0
"Deluxe Mattress (75x36x4)",M9DE,"Standard Foam Mattresses",Deluxe,75x36x4,20000,5,0
"Deluxe Mattress (75x36x6)",M4DE6,"Standard Foam Mattresses",Deluxe,75x36x6,20000,5,0
"Deluxe Mattress (75x36x8)",M4DE8,"Standard Foam Mattresses",Deluxe,75x36x8,20000,5,0
"Deluxe Mattress (75x36x10)",M42DE,"Standard Foam Mattresses",Deluxe,75x36x10,20000,5,0
"Deluxe Mattress (75x42x6)",M3DE6,"Standard Foam Mattresses",Deluxe,75x42x6,20000,5,0
"Deluxe Mattress (75x42x8)",M3DE8,"Standard Foam Mattresses",Deluxe,75x42x8,20000,5,0
"Deluxe Mattress (75x42x10)",M32DE,"Standard Foam Mattresses",Deluxe,75x42x10,20000,5,0
"Deluxe Mattress (75x42x12)",M33DE,"Standard Foam Mattresses",Deluxe,75x42x12,20000,5,0
"Deluxe Mattress (75x48x6)",M2DE6,"Standard Foam Mattresses",Deluxe,75x48x6,20000,5,0
"Deluxe Mattress (75x48x8)",M2DE8,"Standard Foam Mattresses",Deluxe,75x48x8,20000,5,0
"Deluxe Mattress (75x48x10)",M22DE,"Standard Foam Mattresses",Deluxe,75x48x10,20000,5,0
"Deluxe Mattress (75x48x12)",M23DE,"Standard Foam Mattresses",Deluxe,75x48x12,20000,5,0
"Deluxe Mattress (75x54x6)",M1DE6,"Standard Foam Mattresses",Deluxe,75x54x6,20000,5,0
"Deluxe Mattress (75x54x8)",M1DE8,"Standard Foam Mattresses",Deluxe,75x54x8,20000,5,0
"Deluxe Mattress (75x54x10)",M12DE,"Standard Foam Mattresses",Deluxe,75x54x10,20000,5,0
"Deluxe Mattress (75x54x12)",M13DE,"Standard Foam Mattresses",Deluxe,75x54x12,20000,5,0
"Deluxe Mattress (75x54x14)",M14DE,"Standard Foam Mattresses",Deluxe,75x54x14,20000,5,0
"Deluxe Mattress (75x54x16)",M16DE,"Standard Foam Mattresses",Deluxe,75x54x16,20000,5,0
"Deluxe Mattress (75x54x18)",M18DE,"Standard Foam Mattresses",Deluxe,75x54x18,20000,5,0
"Deluxe Mattress (75x54x20)",M20DE,"Standard Foam Mattresses",Deluxe,75x54x20,20000,5,0
"Deluxe Mattress (75x60x8)",M5DE,"Standard Foam Mattresses",Deluxe,75x60x8,20000,5,0
"Deluxe Mattress (75x60x10)",M52DE,"Standard Foam Mattresses",Deluxe,75x60x10,20000,5,0
"Deluxe Mattress (75x60x12)",M53DE,"Standard Foam Mattresses",Deluxe,75x60x12,20000,5,0
"Deluxe Mattress (75x60x14)",M54DE,"Standard Foam Mattresses",Deluxe,75x60x14,20000,5,0
"Deluxe Mattress (75x60x16)",M56DE,"Standard Foam Mattresses",Deluxe,75x60x16,20000,5,0
"Deluxe Mattress (75x60x18)",M58DE,"Standard Foam Mattresses",Deluxe,75x60x18,20000,5,0
"Deluxe Mattress (75x60x20)",M50DE,"Standard Foam Mattresses",Deluxe,75x60x20,20000,5,0
"Deluxe Mattress (75x72x8)",M6DE,"Standard Foam Mattresses",Deluxe,75x72x8,20000,5,0
"Deluxe Mattress (75x72x10)",M62DE,"Standard Foam Mattresses",Deluxe,75x72x10,20000,5,0
"Deluxe Mattress (75x72x12)",M63DE,"Standard Foam Mattresses",Deluxe,75x72x12,20000,5,0
"Deluxe Mattress (75x72x14)",M64DE,"Standard Foam Mattresses",Deluxe,75x72x14,20000,5,0
"Deluxe Mattress (75x72x16)",M66DE,"Standard Foam Mattresses",Deluxe,75x72x16,20000,5,0
"Deluxe Mattress (75x72x18)",M68DE,"Standard Foam Mattresses",Deluxe,75x72x18,20000,5,0
